,Identifier,Title,Subject,Date,Text,locations,tags
0,43341,"Jane Addams to Zonja Wallin Lawrence, May 7, 1929","Hull-House, support for;Addams, Jane, gratitude",1927-05-07 00:00:00,hullhous 800 south halst street chicago dear mr lawrenc may thank gener gift made hullhous assur appreci gradual put use much appreci kindli thought hullhous hope time come visit u faith jane addam may 7 1929,"41.8716164,-87.6474573",Hull-House;Thanks
19,42487,"Jane Addams to Dorothy Detzer, ca. October 2, 1926","Women's International League for Peace and Freedom, finances;Addams, Jane, and Women's International League for Peace and Freedom",1926-10-02 00:00:00,woman intern leagu peac freedom intern offic geneva switzerland 6 rue du vieuxcolleg dear dorothi detzer copi notic sent mr hull surpris sure know entir approv present method collect noth would induc take money also oppos expect money collect geneva write mr hull letter send enclos copi cours direct envelop long one sent hastili yr jane addam,"41.8781136,-87.6297982",Finances;Peace
20,42486,"Jane Addams to Hannah Clothier Hull, ca. October 2, 1926","Addams, Jane, requests from;Addams, Jane, and Women's International League for Peace and Freedom",1926-10-02 00:00:00,woman intern leagu peac freedom intern offic geneva switzerland 6 rue du vieuxcolleg dear mr hull stupidli lost new wil address washington perhap forward enclos dd write written mr cox note told receipt would come washington anxiou get circular letter wait approv alway devotedli jane addam,"41.8781136,-87.6297982",Peace;Requests
21,42485,"Jane Addams to Myra Harriet Reynolds Linn, September 27, 1926","Addams, Jane, and family",1926-09-27 00:00:00,12 west walton place sept 271926 dear myra send box summer dress hope use give away blue swiss clock entir famili put live room mantl littl thing sweet remembr nice back mari smith send dearest love famili alway love aunt jane addam,"41.9001602,-87.6290308",Family
24,42466,"Jane Addams to Madeleine Zabriskie Doty, August 31, 1926","Addams, Jane, requests from;Women's International League for Peace and Freedom, activities",1926-08-31 00:00:00,dear madelein doti note given cours know noth applic repli hastili jane addam aug 31st 1926,"46.2043907,6.1431577",Peace;Requests
26,42319,"Jane Addams to Cornelia Ramondt-Hirschmann, September 9, 1926","Women's International League for Peace and Freedom, finances;Women's International League for Peace and Freedom, activities",1926-09-09 00:00:00,septemb 9 1926 dear madam ramondt enclos letter thank charm birthday present start sheet pure busi basi 1 see enclos statement sent wrap one balanc come dublin well small bill dublin think quit correct everi particular paid congress fund one hundr fifti dollar one hundr given miss widegren heard sweden ladi come congress fifti amount sent mr cederfeld indic chang account sure absolut correct see chang figur save indic increas bil chang balanc 2 miss thoma come today tomorrow summer school account send copi soon gone 3 five hundr dollar octob count extra fund stand put congress receipt geneva wil fund 8368 sure financi secretari perfectli good conscienc work hard account come extrem well affection,"46.2014274,6.1514017",Finances;Peace
27,42025,"Jane Addams to Anne Henrietta Martin, August 27, 1926","Addams, Jane, requests from;Women's International League for Peace and Freedom, publications",1926-08-27 00:00:00,aug 271926 post card dear ann martin anoth note ladi editor sent new address geneva cours made appoint plea excus horrid scrawl hastili yr jane addam page 2 imag view view balconi fellowship school vaud switzerland,"46.2014274,6.1514017",Peace;Requests
28,41434,"Jane Addams to Charles Fletcher Dole, October 19, 1926","Addams, Jane, requests to",1926-10-19 00:00:00,hullhous 800 south halst street chicago dear mr dole cours deligeth sign petitit may congratul undertak love greet mr dole faith jane addam oct 19 1926,"41.8716164,-87.6474573",Requests
31,41234,"Jane Addams to Dora Wells, April 14, 1926","Hull-House, donations;Addams, Jane, requests from",1926-04-14 00:00:00,hullhous 800 south halst street chicago 14 april 1926 dear miss well past five year kindli sent five dollar year mainten hullhous boy band regular understudi band compris hundr ten boy excel disciplin make good music receiv present new uniform eager year work shall grate feel continu contribut past hope presum courtesi remain faith jane addam sign miss dora well 5716 dorchest ave chicago,"41.8716164,-87.6474573",Hull-House;Requests
32,41233,"Jane Addams to Dora Wells, April 20, 1926","Hull-House, donations",1926-04-20 00:00:00,hullhous 800 south halst street chicago 20 april 1926 dear miss well grate inde gener check five dollar receiv morn appreci continu kind hullhous faith jane addam sign miss dora well 5716 dorchest ave chicago,"41.8716164,-87.6474573",Hull-House;Philanthropy
