,Identifier,Title,Subject,Date,Text,locations,tags
1795,14095,"Elsie Smith Lucas to W. E. B. Du Bois, May 14, 1907","Addams, Jane, requests to;Addams, Jane, lectures",1907-05-14,may 14 1907 dear mr du boi miss addam desir say answer letter eighth take pleasur write mr forest complianc request wish add may count upon come univers confer 1908 sincer sign alic smith hullhous 335 halst st chicago,"41.8716354,-87.6474381",Lectures;Requests
2370,9946,"Jane Addams to Esther Margaret Linn Hulbert, April 3, 1905","Addams, Jane, financial dealings;Addams, Jane, and family",1905-04-03,hullhous 335 south halst street chicago dear esther enclos plea find account grant locomot lot paid share stanley fifti dollar amount advanc meant send 25 00 april plea consid send whenev need sorri hear charli sister idea town time wish might page 2 illeg word certainli hard mr hulbert plea let know life fare far west ethel brother lawyer way prevent west look work hear thing must let know babi dear littl soul father seem head nurs mother say love kiss babi alway love aunt jane addam april 3 1905,"41.8716354,-87.6474381",Family;Finances
2371,9944,"Jane Addams to Esther Margaret Linn Hulbert, March 20, 1905","Addams, Jane, and family;Addams, Jane, financial dealings",1905-03-20,hullhous 335 south halst street chicago dear esther aw sorri difficulti congratualt secur littl cottag ask stanley send fifti dollar didnt bank pay back fifti dollar grant loco lot littl delay releas dower right father soon come page 2 tri send someth east whither depart tomorrow sure scrambl along may 1 st suppos condit expens appar first fascin place appear later miss much seem still floor without dear littl louis love famili alway love aunt jane addam march 20 1905,"41.8716354,-87.6474381",Family;Finances
2387,9836,"Jane Addams to Comodore Edward Prevey, September 30, 1903","Addams, Jane, lectures;Addams, Jane, travels",1903-09-30,hullhous 335 south halst street chicago dear mr prevey four oclock oct 6 perfectli satisfactori allow cours morn train omaha possibl reach fremont even thank kind accept proffer hospit much pleasur faith jane addam sept 30 1903,"41.8716354,-87.6474381",Lectures;Travels
2395,9772,"Jane Addams to Bonnie Withrow Evans, November 26, 1909","Addams, Jane, requests to",1909-11-26,hullhous 800 south halst street chicago nov 26 1909 dear mr evan find deep regret engag hullhous saturday make imposs go mr young luncheon perhap telephon make appoint time next week realli want see much inde hastili jane addam sign mr lynden evan chicago,"41.8716354,-87.6474381",Requests
2685,6997,"Jane Addams to Dwight B. Waldo, July 2, 1905","Addams, Jane, lectures;Addams, Jane, requests from",1905-07-02,hullhous 335 south halst street chicago dear mr waldo kindli write hour address juli 6 th whether afternoon even make differ train oblig take sincer jane addam,"41.8716782,-87.6474517",Lectures;Requests;Travels
2687,6993,"Jane Addams to Dwight Waldo, July 1, 1905","Addams, Jane, lectures",1905-07-01,hullhous 335 south halst street chicago dear mr waldo telegraph last thursday regard chang date lectur gotten date confus chautauqua assembl carthag mo sinc howev matter straighten much prefer keep origin date sixth trust telegram disturb plan faith jane addam juli 1 st 1905,"41.8716782,-87.6474517",Lectures;Requests
2928,4884,"Jane Addams to Anita McCormick Blaine, [June 8, 1908]","Addams, Jane, requests to",1908-06-08,dear mr blain mr schneider letter although actual interview came pretti well hastili yr j,"41.8716782,-87.6474517",Requests
3008,4165,"Jane Addams to Frederic J. V. Skiff, January 26, 1902","Addams, Jane, requests from;Hull-House, programs;education",1902-01-26,hullhous 335 south halst street chciago mr fred j v skiff director field columbian museum dear mr skiff mr dorsey visit littl museum last week said field columbian museum collect textil repres 12 th 13 th 14th centuri rememb rightli intent museum dispos collect page 2 near futur may ask would possibl secur valuabl collect hullhous labor museum develop textil depart comfort hous room good case provid generos museum page 3 miss hanner charg textil depart seen exhibit think could use advantag illustr lectur class mani visitor teacher public school student variou pedagog institut addit popular audienc would find studi textil much illumin valuabl collect page 4 specimen modern manufactur cours scarc hope anoth opportun obtain fine mediev collect hope may abl consid applic express sincerest gratitud mani kind u faith jane addam jani 26 1902,"41.8716782,-87.6474517",Hull-House;Philanthropy;Requests
3135,3330,"Jane Addams to Charles Hull Ewing, December 22, 1909","Addams, Jane, personal life;sympathy",1909-12-22,hullhous 800 south halst street chicago dec 22 1909 dear mr ewe write thank barrel appl kindli sent u miss culver letter came horrifi hear fire harsh experi newcom among u give love sympathi mr ewe receiv congratul come soon see littl helen right assum miss culver still cuba sincer jane addam sign cha hull ewe esq chicago,"41.8716782,-87.6474517",Friends
3144,3294,"Jane Addams to Sidney A. Teller, December 12, 1909","Addams, Jane, lectures;meetings;Addams, Jane, requests from",1909-12-12,butterfli decemb 12th speak rockford ten hour law 19th think free doubt whether could smith hall afternoon think lectur hall shall glad butterfli associ guest time yet time read public hope soon sincer jane addam sign one hundredtwo,"41.8781136,-87.6297982",Lectures;Requests
3146,3272,"Jane Addams to Josephine Goldmark, December 10, 1909","Addams, Jane, gratitude",1909-12-10,hull hous 800 south halst street chicago dec 10 1909 dear miss goldmark may thank much brief seem masterli assemblag materi need much quit agre view valu widespread evid shall happi put aspect matter mr glenn opportun offer cordial greet mr kelley new york sincer jane addam sign miss josephin goldmark new york,"41.8716782,-87.6474517",Thanks
3163,3233,"Jane Addams to Lucy Salmon, November 26, 1909","apologies;Addams, Jane, requests to",1909-11-26,hull hous 800 south halst street chicago nov 26 1909 dear miss salmon telegram came day repli somewhat abruptli telephon oper write tell sorri abl serv way well apolog unnecessarili abbrevi repli sincer jane addam sign miss luci salmon vassar colleg,"41.8716782,-87.6474517",Requests
3171,3195,"Jane Addams to Lillian D. Wald, February 14, 1909","Addams, Jane, relationship with Lillian Wald;Addams, Jane, travels",1909-02-14,136 astor street dear ladi hope accept lincoln slide although sorri humanist speak mr jone evid made desper effort keep accur authent page 2 howev use mani time week differ foreign audienc hungarian afternoon last grate meant write earlier thank mani kind page 3 stay new york realli store enough energi put week rush one chicago never pull togeth common enthusiasm lincoln realli quit touch mr bowen came page 4 morn met station drive storm hard imagin spring weather ny plea give love household alway affection jane addam febi 14 1909,"41.8781136,-87.6297982",Friends;Travels
3183,3161,"Jane Addams to Benjamin Barr Lindsey, February 8, 1909","Addams, Jane, requests from",1909-02-08,hullhous 335 south halst street chicago feb 8 1909 dear judg lindsey may ask repli enclos letter see cours quit mistaken regard presid must much gratifi recept citi club new york sincer jane addam sign judg ben b lindsey denver,"41.8769228,-87.6469894",Hull-House
3185,3155,"Jane Addams to Sarah Alice Addams Haldeman, February 5, 1909","Addams, Jane, and family;Addams, Jane, travels",1909-02-05,febi 5 1909 hotel belmont fortysecond st park avenu opposit grand central central station new york dear alic nice visit marcet engag see mr sargeant saturday marcet look well seem happi absorb write soon board place pleasant dont believ care happili break hastili love sister j,"40.7127837,-74.0059413",Family;Travels
3186,3152,"Jane Addams to Sarah Alice Addams Haldeman, January 29, 1909","Addams, Jane, and family",1909-01-29,dear alic know like autograph send prest littl account confer call mr bowen came last night sent note marcet hope see today write hastili ja,"40.7127837,-74.0059413",Family
3188,3137,"Jane Addams to Anita McCormick Blaine, January 19, 1909","Hull-House, events;Addams, Jane, requests from",1909-01-19,hullhous 335 south halst street chicago jan 19 1909 dear mr blain may pleasur compani luncheon hullhous friday januari 22 one oclock invit speaker deleg nation child labor confer hope hour may arrang interfer either morn afternoon session perhap best opportun member local committe meet guest town sincer jane addam sign,"41.8781136,-87.6297982",Requests
3189,3134,"Jane Addams to Benjamin Barr Lindsey, January 18, 1909","Addams, Jane, requests from",1909-01-18,hullhous 335 south halst street chicago jan 18 1909 dear judg lindsey decid tri luncheon saturday woman club kindli consent speak u miss jean gordon new orlean mr florenc kelley two guest main speaker expect great result municip suffrag hope interfer plan sincer jane addam sign judg ben lindsey denver,"41.8781136,-87.6297982",Requests
3193,3118,"Jane Addams to Sarah Alice Addams Haldeman, January 15, 1909","Addams, Jane, and family",1909-01-15,136 astor street dear alic feel much better hope go back hullhous tomorrow wound still sore matter time child behav well great pleasur respons present moment cours actual care page 2 laura esther seem get well cedarvil weber linn dinner last night charl worral new wife brought chicago philadelphia girl famili glad come alway dear alic love sister jane addam jani 15 1909,"41.8781136,-87.6297982",Family
3194,3117,"Anna Eliza Nicholes to Brand Whitlock, January 14, 1909",meetings,1909-01-14,neighborhood hous 6710 may street chicago jan 14 09 brand whitlock mayor toledo dear sir miss addam hope pleasur entertain wife come chicago speak suffrag enclos notic meet miss addam chairman meet much interest greatli appreci come u time faith anna e nichol,"41.7719601,-87.6533556",Meetings
